External Library Name, Link to License, License Name, Binaries using the license, URL
libcurl, https://android.googlesource.com/platform/external/curl/+/refs/heads/emu-master-dev/NOTICE, curl, ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe android-emu-curl.dll ./emulator.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe android-emu-shared.dll gfxstream_backend.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel.exe android-emu-metrics.dll ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe emugl_common.dll, https://android.googlesource.com/platform/external/curl/+/refs/heads/emu-master-dev
ext4_utils, https://android.googlesource.com/platform/system/extras/+/master/ext4_utils/NOTICE, Apache-2.0, ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe android-emu-shared.dll gfxstream_backend.dll ./qemu-img.exe ./crashreport.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel.exe android-emu-metrics.dll ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe android-emu-agents.dll emugl_common.dll, https://android.googlesource.com/platform/system/extras/+/master/ext4_utils/
vcredist, https://marketplace.visualstudio.com/items/VisualStudioProductTeam.VisualStudioProjectSystemExtensibilityPreview/license, 2017-redistribution-vs, ./msvcp140.dll ./msvcp140_atomic_wait.dll ./emulator.exe ./msvcp140_codecvt_ids.dll ./vcruntime140.dll ./msvcp140_2.dll ./concrt140.dll ./vcruntime140_1.dll ./msvcp140_1.dll ./vccorlib140.dll, https://docs.microsoft.com/en-us/visualstudio/productinfo/2017-redistribution-vs
abseil, https://android.googlesource.com/platform/external/abseil-cpp/+/refs/heads/emu-master-dev/LICENSE, Apache-2, libprotobuf.dll abseil_dll.dll, https://android.googlesource.com/platform/external/abseil-cpp/+/refs/heads/emu-master-dev
glib-2.0, https://android.googlesource.com/platform/external/bluetooth/glib/+/refs/heads/emu-master-dev/COPYING, LGPL-2.1-only, ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe glib2_windows_msvc-x86_64.dll ./qsn.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe android-emu-shared.dll ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe gfxstream_backend.dll emugl_common.dll ./qemu-img.exe, https://android.googlesource.com/platform/external/bluetooth/glib/+/refs/heads/emu-master-dev/
Netsim, https://android.googlesource.com/platform/tools/netsim/+/refs/heads/main/LICENSE, Apache-2.0, ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe, 
upb_collections_lib, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe android-emu-shared.dll ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe gfxstream_backend.dll emugl_common.dll ./qemu-img.exe, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
regex, https://android.googlesource.com/platform/external/qemu.git/+/refs/heads/emu-master-dev/android/third_party/regex-win32/NOTICE, BSD-4-Clause, ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe android-emu-shared.dll gfxstream_backend.dll ./qemu-img.exe ./crashreport.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel.exe android-emu-metrics.dll ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe android-emu-agents.dll emugl_common.dll, https://android.googlesource.com/platform/external/qemu.git/+/refs/heads/emu-master-dev/android/third_party/regex-win32/
LibXml2, https://github.com/GNOME/libxml2/blob/mainline/Copyright, MIT, ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe android-emu-shared.dll gfxstream_backend.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel.exe android-emu-metrics.dll ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe emugl_common.dll, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/libxml2-2.9.2.tar.gz
libwebp, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libwebp/third_party/chromium_headless/libwebp/LICENSE, BSD-3-Clause, ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe android-emu-shared.dll ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe gfxstream_backend.dll emugl_common.dll ./qemu-img.exe, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libwebp/third_party/chromium_headless/libwebp
mesa, https://mesa3d.org/license.html, MIT, lib64/gles_mesa/mesa_opengl32.dll ./emulator.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/MesaLib-10.4.2.tar.bz2
lz4, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev/LICENSE, BSD-2-Clause, ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe android-emu-curl.dll ./emulator.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe android-emu-shared.dll gfxstream_backend.dll ./qemu-img.exe ./crashreport.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel.exe android-emu-metrics.dll ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe android-emu-agents.dll emugl_common.dll, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev
